player,game,round,current_score,round_score,placement,round_wins,game_wins,last_trick
Random2,10,12,15,-1,3,3,4,False
Random3,10,12,65,16,0,3,2,False
Random4,10,12,70,16,1,3,3,False
DQN,10,13,35,-7,3,42,1,False
Random2,10,13,19,4,1,3,4,False
Random3,10,13,84,19,0,3,2,False
Random4,10,13,70,19,2,3,3,False
DQN,10,14,35,0,1,42,1,False
Random2,10,14,19,0,1,3,4,False
Random3,10,14,81,-3,3,3,2,False
Random4,10,14,89,-3,0,3,3,False
DQN,10,14,36,1,2,42,1,True
Random2,10,14,17,-2,3,3,4,True
Random3,10,14,85,4,1,3,5,True
Random4,10,14,102,4,0,3,3,True
DQN,11,1,19,19,0,42,1,False
Random2,11,1,1,1,2,3,5,False
Random3,11,1,3,3,1,3,2,False
Random4,11,1,-7,3,3,3,3,False
DQN,11,2,23,4,1,42,1,False
Random2,11,2,1,0,3,3,5,False
Random3,11,2,12,9,0,3,2,False
Random4,11,2,-4,9,2,3,3,False
DQN,11,3,27,4,1,42,1,False
Random2,11,3,0,-1,3,3,5,False
Random3,11,3,12,0,2,3,2,False
Random4,11,3,9,0,0,3,3,False
DQN,11,4,33,6,1,42,1,False
Random2,11,4,20,20,0,3,5,False
Random3,11,4,12,0,2,3,2,False
